,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
63,Z4,East Asia & Pacific,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
64,Z4,East Asia & Pacific,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
65,Z4,East Asia & Pacific,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
66,Z4,East Asia & Pacific,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
67,Z4,East Asia & Pacific,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
68,Z4,East Asia & Pacific,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
69,Z4,East Asia & Pacific,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
70,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
71,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
72,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
73,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
74,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
75,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
76,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
77,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
78,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
79,4E,East Asia & Pacific (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
80,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
81,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
82,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
83,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
84,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
85,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
86,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
87,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
88,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
89,T4,East Asia & Pacific (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
90,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
91,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
92,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
93,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
94,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
95,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
96,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
97,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
98,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
99,XC,Euro area,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
100,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
101,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
102,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
103,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
104,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
105,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
106,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
107,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
108,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
109,Z7,Europe & Central Asia,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
110,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
111,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
112,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
113,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
114,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
115,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
116,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
117,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
118,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
119,7E,Europe & Central Asia (excluding high income),Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
120,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
121,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
122,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
123,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
124,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
125,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
126,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
127,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
128,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
129,T7,Europe & Central Asia (IDA & IBRD countries),Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
130,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
131,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
132,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
133,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
134,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
135,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
136,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
137,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
138,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
139,EU,European Union,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
140,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
141,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
142,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
143,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
144,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
145,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
146,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
147,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
148,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
149,XE,Heavily indebted poor countries (HIPC),Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
150,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
151,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
152,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
153,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
154,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
155,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
156,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
157,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
158,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
159,XD,High income,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
160,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
161,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
162,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
163,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2022,,Aggregates,Aggregates,Aggregates,,
164,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2021,,Aggregates,Aggregates,Aggregates,,
165,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2020,,Aggregates,Aggregates,Aggregates,,
166,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2019,,Aggregates,Aggregates,Aggregates,,
167,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2018,,Aggregates,Aggregates,Aggregates,,
168,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2017,,Aggregates,Aggregates,Aggregates,,
169,XF,IBRD only,Poverty headcount ratio at national poverty lines (% of population),2016,,Aggregates,Aggregates,Aggregates,,
170,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2025,,Aggregates,Aggregates,Aggregates,,
171,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2024,,Aggregates,Aggregates,Aggregates,,
172,ZT,IDA & IBRD total,Poverty headcount ratio at national poverty lines (% of population),2023,,Aggregates,Aggregates,Aggregates,,
